household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0101200,15.0,010120015,4.0,1:Male,7.0,,,
0101251,3.0,010125103,2.0,3:Female,2.0,2.0,010120009,23.0
0101400,10.0,010140010,4.0,1:Male,3.0,3.0,010140003,39.0
0101700,5.0,010170005,3.0,3:Female,7.0,7.0,010170007,33.0
0101851,5.0,010185105,1.0,1:Male,2.0,2.0,010180007,28.0
0102000,10.0,010200010,3.0,1:Male,4.0,4.0,010200004,34.0
0102121,6.0,010212106,1.0,3:Female,3.0,3.0,010210010,32.0
0102131,7.0,010213107,4.0,1:Male,2.0,2.0,010210007,38.0
0102451,3.0,010245103,3.0,3:Female,2.0,2.0,010240003,33.0
0102451,4.0,010245104,2.0,3:Female,2.0,2.0,010240003,33.0
0102451,5.0,010245105,0.0,3:Female,2.0,2.0,010240003,33.0
0102511,7.0,010251107,3.0,1:Male,4.0,4.0,010251104,31.0
0102511,8.0,010251108,0.0,3:Female,4.0,4.0,010251104,31.0
0102600,18.0,010260018,4.0,3:Female,17.0,17.0,010260017,25.0
0102600,19.0,010260019,1.0,1:Male,17.0,17.0,010260017,25.0
0102651,3.0,010265103,1.0,1:Male,1.0,1.0,010260006,23.0
0102752,4.0,010275204,3.0,3:Female,2.0,2.0,010270011,28.0
0102800,9.0,010280009,4.0,3:Female,3.0,3.0,010280003,35.0
0104141,4.0,010414104,4.0,1:Male,1.0,1.0,010410006,28.0
0104141,5.0,010414105,2.0,1:Male,1.0,1.0,010410006,28.0
0104152,4.0,010415204,1.0,1:Male,2.0,2.0,010415202,30.0
0104332,10.0,010433210,0.0,3:Female,1.0,1.0,010430007,33.0
0104341,7.0,010434107,2.0,3:Female,2.0,2.0,010434102,28.0
0104343,4.0,010434304,4.0,3:Female,2.0,2.0,010434302,34.0
0104343,5.0,010434305,0.0,1:Male,2.0,2.0,010434302,34.0
0104441,8.0,010444108,2.0,1:Male,2.0,2.0,010440004,27.0
0104442,3.0,010444203,4.0,3:Female,2.0,2.0,010444202,24.0
0104442,4.0,010444204,2.0,3:Female,2.0,2.0,010444202,24.0
0104451,3.0,010445103,3.0,1:Male,2.0,2.0,010440006,24.0
0104500,7.0,010450007,4.0,1:Male,5.0,5.0,010450005,29.0
0104500,8.0,010450008,3.0,1:Male,5.0,5.0,010450005,29.0
0104500,9.0,010450009,0.0,1:Male,5.0,5.0,010450005,29.0
0104631,6.0,010463106,1.0,3:Female,3.0,3.0,010460006,29.0
0104631,7.0,010463107,0.0,1:Male,3.0,3.0,010460006,29.0
0104641,5.0,010464105,4.0,1:Male,1.0,1.0,010460005,32.0
0104651,4.0,010465104,4.0,1:Male,2.0,2.0,010460009,29.0
0104651,5.0,010465105,0.0,3:Female,2.0,2.0,010460009,29.0
0110141,3.0,011014103,2.0,1:Male,1.0,1.0,011010003,30.0
0110341,4.0,011034104,4.0,3:Female,2.0,2.0,011034102,31.0
0110641,3.0,011064103,1.0,1:Male,2.0,2.0,011064102,28.0
